Hora,Nombre completo del usuario,Contexto del evento,Componente,Nombre evento,Descripción,Origen,Dirección IP
2020-09-25,Admin,CURSO,Registros,Informe de registros visto,The user with id '2' viewed the log report for the course with id '2046'.,web,191.127.12.66
2020-09-25,Admin,CURSO,Sistema,Curso visto,The user with id '2' viewed the course with id '2046'.,web,191.127.12.66
2020-09-25,Investigador,CURSO,Sistema,Curso visto,The user with id '581' viewed the course with id '2046'.,web,189.216.99.91
2020-09-23,usuario_11,CURSO,Sistema,Curso visto,The user with id '6289' viewed the course with id '2046'.,web,181.42.32.194
2020-09-22,Investigador,CURSO,Archivo XML,Calificación XML exportada,The user with id '581' exported grades using the xml export in the gradebook.,web,189.216.99.91
2020-09-22,Investigador,CURSO,Informe del Calificador,Informe del examinador visto,The user with id '581' viewed the grader report in the gradebook.,web,189.216.99.91
2020-09-22,Investigador,CURSO,Sistema,Curso visto,The user with id '581' viewed the course with id '2046'.,web,189.216.99.91
2020-09-21,usuario_8,CURSO,Sistema,Curso visto,The user with id '6762' viewed the course with id '2046'.,web,181.74.92.59
2020-09-13,Investigador,H5P-1,H5P,Módulo de curso visto,The user with id '581' viewed the 'hvp' activity with course module id '183098'.,web,"189,148,151,132"
2020-09-13,Investigador,CURSO,Sistema,Curso visto,The user with id '581' viewed the course with id '2046'.,web,"189,148,151,132"
2020-09-13,Investigador,CURSO,Sistema,Curso visto,The user with id '581' viewed the course with id '2046'.,web,"189,148,151,132"
2020-09-02,usuario_6,Foro2,Foro,Módulo de curso visto,The user with id '6442' viewed the 'forum' activity with course module id '181902'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,Archivo9,Recurso,Módulo de curso visto,The user with id '6442' viewed the 'resource' activity with course module id '213825'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,H5P-5,H5P,Módulo de curso visto,The user with id '6442' viewed the 'hvp' activity with course module id '185586'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,Archivo9,Recurso,Módulo de curso visto,The user with id '6442' viewed the 'resource' activity with course module id '213825'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,Carpeta 1 ,Carpeta,Módulo de curso visto,The user with id '6442' viewed the 'folder' activity with course module id '189121'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_4,CURSO,Sistema,Curso visto,The user with id '5888' viewed the course with id '2046'.,web,190.82.61.43
2020-09-02,usuario_6,Archivo9,Recurso,Módulo de curso visto,The user with id '6442' viewed the 'resource' activity with course module id '213825'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,Carpeta 1 ,Carpeta,Módulo de curso visto,The user with id '6442' viewed the 'folder' activity with course module id '189121'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_2,Archivo1,Recurso,Módulo de curso visto,The user with id '6665' viewed the 'resource' activity with course module id '185584'.,web,179.9.28.86
2020-09-02,usuario_2,Archivo6,Recurso,Módulo de curso visto,The user with id '6665' viewed the 'resource' activity with course module id '186960'.,web,179.9.28.86
2020-09-02,usuario_2,CURSO,Sistema,Curso visto,The user with id '6665' viewed the course with id '2046'.,web,179.9.28.86
2020-09-02,usuario_2,Archivo1,Recurso,Módulo de curso visto,The user with id '6665' viewed the 'resource' activity with course module id '185584'.,web,179.9.28.86
2020-09-02,usuario_2,CURSO,Sistema,Curso visto,The user with id '6665' viewed the course with id '2046'.,web,179.9.28.86
2020-09-02,Profesor,H5P-5,H5P,Módulo de curso visto,The user with id '1698' viewed the 'hvp' activity with course module id '185586'.,web,179.9.2.161
2020-09-02,Profesor,CURSO,Sistema,Curso visto,The user with id '1698' viewed the course with id '2046'.,web,179.9.2.161
2020-09-02,Profesor,H5P-5,H5P,Módulo de curso visto,The user with id '1698' viewed the 'hvp' activity with course module id '185586'.,web,179.9.2.161
2020-09-02,Profesor,CURSO,Sistema,Curso visto,The user with id '1698' viewed the course with id '2046'.,web,179.9.2.161
2020-09-02,Profesor,Archivo1,Recurso,Módulo de curso visto,The user with id '1698' viewed the 'resource' activity with course module id '185584'.,web,179.9.2.161
2020-09-02,Profesor,CURSO,Sistema,Curso visto,The user with id '1698' viewed the course with id '2046'.,web,179.9.2.161
2020-09-02,usuario_12,H5P-5,H5P,Módulo de curso visto,The user with id '6101' viewed the 'hvp' activity with course module id '185586'.,web,181.74.62.21
2020-09-02,usuario_12,CURSO,Sistema,Curso visto,The user with id '6101' viewed the course with id '2046'.,web,181.74.62.21
2020-09-02,usuario_10,Archivo9,Recurso,Módulo de curso visto,The user with id '6240' viewed the 'resource' activity with course module id '213825'.,web,181.73.252.102
2020-09-02,usuario_9,CURSO,Sistema,Curso visto,The user with id '6096' viewed the course with id '2046'.,web,179.9.4.208
2020-09-02,usuario_9,Archivo6,Recurso,Módulo de curso visto,The user with id '6096' viewed the 'resource' activity with course module id '186960'.,web,179.9.4.208
2020-09-02,usuario_9,CURSO,Sistema,Curso visto,The user with id '6096' viewed the course with id '2046'.,web,179.9.4.208
2020-09-02,usuario_9,Archivo9,Recurso,Módulo de curso visto,The user with id '6096' viewed the 'resource' activity with course module id '213825'.,web,179.9.4.208
2020-09-02,usuario_9,CURSO,Sistema,Curso visto,The user with id '6096' viewed the course with id '2046'.,web,179.9.4.208
2020-09-02,usuario_12,CURSO,Sistema,Curso visto,The user with id '6101' viewed the course with id '2046'.,web,181.74.62.21
2020-09-02,usuario_6,Archivo9,Recurso,Módulo de curso visto,The user with id '6442' viewed the 'resource' activity with course module id '213825'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,Archivo9,Recurso,Módulo de curso visto,The user with id '6442' viewed the 'resource' activity with course module id '213825'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,H5P-5,H5P,Módulo de curso visto,The user with id '6442' viewed the 'hvp' activity with course module id '185586'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,Archivo1,Recurso,Módulo de curso visto,The user with id '6442' viewed the 'resource' activity with course module id '185584'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_6,Archivo9,Recurso,Módulo de curso visto,The user with id '6442' viewed the 'resource' activity with course module id '213825'.,web,181.72.128.100
2020-09-02,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-02,usuario_7,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '92000' for the user with id '6376' for the grade item with id '3721'.,web,179.9.15.155
2020-09-02,usuario_7,CURSO,Sistema,Usuario calificado,The user with id '6376' updated the grade with id '142498' for the user with id '6376' for the grade item with id '8172'.,web,179.9.15.155
2020-09-02,usuario_4,CURSO,Sistema,Curso visto,The user with id '5888' viewed the course with id '2046'.,web,190.82.61.43
2020-09-02,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '90672' for the user with id '5888' for the grade item with id '3721'.,web,190.82.61.43
2020-09-02,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '5888' updated the grade with id '143106' for the user with id '5888' for the grade item with id '8210'.,web,190.82.61.43
2020-09-02,usuario_7,H5P-4,H5P,Módulo de curso visto,The user with id '6376' viewed the 'hvp' activity with course module id '186959'.,web,179.9.15.155
2020-09-02,usuario_7,CURSO,Sistema,Curso visto,The user with id '6376' viewed the course with id '2046'.,web,179.9.15.155
2020-09-02,usuario_7,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '92000' for the user with id '6376' for the grade item with id '3721'.,web,179.9.15.155
2020-09-02,usuario_7,CURSO,Sistema,Usuario calificado,The user with id '6376' updated the grade with id '143113' for the user with id '6376' for the grade item with id '8210'.,web,179.9.15.155
2020-09-02,usuario_2,H5P-3,H5P,Módulo de curso visto,The user with id '6665' viewed the 'hvp' activity with course module id '187334'.,web,179.9.28.86
2020-09-02,usuario_4,H5P-3,H5P,Módulo de curso visto,The user with id '5888' viewed the 'hvp' activity with course module id '187334'.,web,190.82.61.43
2020-09-02,usuario_4,H5P-4,H5P,Módulo de curso visto,The user with id '5888' viewed the 'hvp' activity with course module id '186959'.,web,190.82.61.43
2020-09-02,usuario_2,CURSO,Sistema,Curso visto,The user with id '6665' viewed the course with id '2046'.,web,179.9.28.86
2020-09-02,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '90672' for the user with id '5888' for the grade item with id '3721'.,web,190.82.61.43
2020-09-02,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '5888' updated the grade with id '142491' for the user with id '5888' for the grade item with id '8172'.,web,190.82.61.43
2020-09-02,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '90672' for the user with id '5888' for the grade item with id '3721'.,web,190.82.61.43
2020-09-02,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '5888' updated the grade with id '139479' for the user with id '5888' for the grade item with id '8043'.,web,190.82.61.43
2020-09-02,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '90672' for the user with id '5888' for the grade item with id '3721'.,web,190.82.61.43
2020-09-02,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '5888' updated the grade with id '139479' for the user with id '5888' for the grade item with id '8043'.,web,190.82.61.43
2020-09-01,usuario_7,H5P-3,H5P,Módulo de curso visto,The user with id '6376' viewed the 'hvp' activity with course module id '187334'.,web,179.9.15.155
2020-09-01,usuario_7,CURSO,Sistema,Curso visto,The user with id '6376' viewed the course with id '2046'.,web,179.9.15.155
2020-09-01,usuario_7,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '92000' for the user with id '6376' for the grade item with id '3721'.,web,179.9.15.155
2020-09-01,usuario_7,CURSO,Sistema,Usuario calificado,The user with id '6376' updated the grade with id '139486' for the user with id '6376' for the grade item with id '8043'.,web,179.9.15.155
2020-09-01,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '90672' for the user with id '5888' for the grade item with id '3721'.,web,190.82.61.43
2020-09-01,usuario_4,CURSO,Sistema,Usuario calificado,The user with id '5888' updated the grade with id '143106' for the user with id '5888' for the grade item with id '8210'.,web,190.82.61.43
2020-09-01,usuario_3,CURSO,Sistema,Curso visto,The user with id '6353' viewed the course with id '2046'.,web,190.82.10.73
2020-09-01,usuario_7,H5P-5,H5P,Módulo de curso visto,The user with id '6376' viewed the 'hvp' activity with course module id '185586'.,web,179.9.15.155
2020-09-01,usuario_5,Archivo6,Recurso,Módulo de curso visto,The user with id '6396' viewed the 'resource' activity with course module id '186960'.,web,190.82.16.68
2020-09-01,usuario_5,H5P-3,H5P,Módulo de curso visto,The user with id '6396' viewed the 'hvp' activity with course module id '187334'.,web,190.82.16.68
2020-09-01,usuario_5,CURSO,Sistema,Curso visto,The user with id '6396' viewed the course with id '2046'.,web,190.82.16.68
2020-09-01,usuario_5,Archivo6,Recurso,Módulo de curso visto,The user with id '6396' viewed the 'resource' activity with course module id '186960'.,web,190.82.16.68
2020-09-01,usuario_5,CURSO,Sistema,Curso visto,The user with id '6396' viewed the course with id '2046'.,web,190.82.16.68
2020-09-01,usuario_5,H5P-3,H5P,Módulo de curso visto,The user with id '6396' viewed the 'hvp' activity with course module id '187334'.,web,190.82.16.68
2020-09-01,usuario_5,CURSO,Sistema,Curso visto,The user with id '6396' viewed the course with id '2046'.,web,190.82.16.68
2020-09-01,usuario_5,H5P-4,H5P,Módulo de curso visto,The user with id '6396' viewed the 'hvp' activity with course module id '186959'.,web,190.82.16.68
2020-09-01,usuario_5,CURSO,Sistema,Curso visto,The user with id '6396' viewed the course with id '2046'.,web,190.82.16.68
2020-09-01,usuario_7,CURSO,Sistema,Curso visto,The user with id '6376' viewed the course with id '2046'.,web,179.9.15.155
2020-09-01,usuario_7,H5P-3,H5P,Módulo de curso visto,The user with id '6376' viewed the 'hvp' activity with course module id '187334'.,web,179.9.15.155
2020-09-01,usuario_7,CURSO,Sistema,Curso visto,The user with id '6376' viewed the course with id '2046'.,web,179.9.15.155
2020-09-01,usuario_7,H5P-5,H5P,Módulo de curso visto,The user with id '6376' viewed the 'hvp' activity with course module id '185586'.,web,179.9.15.155
2020-09-01,usuario_7,Archivo9,Recurso,Módulo de curso visto,The user with id '6376' viewed the 'resource' activity with course module id '213825'.,web,179.9.15.155
2020-09-01,usuario_7,CURSO,Sistema,Curso visto,The user with id '6376' viewed the course with id '2046'.,web,179.9.15.155
2020-09-01,usuario_7,Archivo9,Recurso,Módulo de curso visto,The user with id '6376' viewed the 'resource' activity with course module id '213825'.,web,179.9.15.155
2020-09-01,usuario_2,CURSO,Sistema,Curso visto,The user with id '6665' viewed the course with id '2046'.,web,179.9.28.86
2020-09-01,usuario_7,CURSO,Sistema,Curso visto,The user with id '6376' viewed the course with id '2046'.,web,179.9.15.155
2020-09-01,usuario_7,H5P-5,H5P,Módulo de curso visto,The user with id '6376' viewed the 'hvp' activity with course module id '185586'.,web,179.9.15.155
2020-09-01,usuario_2,URL1,URL,Módulo de curso visto,The user with id '6665' viewed the 'url' activity with course module id '184182'.,web,179.9.28.86
2020-09-01,usuario_2,CURSO,Sistema,Curso visto,The user with id '6665' viewed the course with id '2046'.,web,179.9.28.86
2020-09-01,usuario_5,H5P-3,H5P,Módulo de curso visto,The user with id '6396' viewed the 'hvp' activity with course module id '187334'.,web,190.82.16.68
2020-09-01,usuario_5,CURSO,Sistema,Curso visto,The user with id '6396' viewed the course with id '2046'.,web,190.82.16.68
2020-09-01,usuario_4,Archivo1,Recurso,Módulo de curso visto,The user with id '5888' viewed the 'resource' activity with course module id '185584'.,web,190.82.61.43
2020-09-01,usuario_4,Archivo6,Recurso,Módulo de curso visto,The user with id '5888' viewed the 'resource' activity with course module id '186960'.,web,190.82.61.43
2020-09-01,usuario_4,H5P-4,H5P,Módulo de curso visto,The user with id '5888' viewed the 'hvp' activity with course module id '186959'.,web,190.82.61.43
2020-09-01,usuario_4,H5P-3,H5P,Módulo de curso visto,The user with id '5888' viewed the 'hvp' activity with course module id '187334'.,web,190.82.61.43
2020-09-01,usuario_4,H5P-5,H5P,Módulo de curso visto,The user with id '5888' viewed the 'hvp' activity with course module id '185586'.,web,190.82.61.43
2020-09-01,usuario_4,CURSO,Sistema,Curso visto,The user with id '5888' viewed the course with id '2046'.,web,190.82.61.43
2020-09-01,usuario_4,Archivo1,Recurso,Módulo de curso visto,The user with id '5888' viewed the 'resource' activity with course module id '185584'.,web,190.82.61.43
2020-09-01,usuario_4,CURSO,Sistema,Curso visto,The user with id '5888' viewed the course with id '2046'.,web,190.82.61.43
2020-09-01,usuario_7,CURSO,Sistema,Curso visto,The user with id '6376' viewed the course with id '2046'.,web,179.9.15.155
2020-09-01,usuario_12,URL1,URL,Módulo de curso visto,The user with id '6101' viewed the 'url' activity with course module id '184182'.,web,181.74.62.21
2020-09-01,usuario_12,CURSO,Sistema,Curso visto,The user with id '6101' viewed the course with id '2046'.,web,181.74.62.21
2020-09-01,usuario_6,H5P-5,H5P,Módulo de curso visto,The user with id '6442' viewed the 'hvp' activity with course module id '185586'.,web,181.72.128.100
2020-09-01,usuario_6,H5P-5,H5P,Módulo de curso visto,The user with id '6442' viewed the 'hvp' activity with course module id '185586'.,web,181.72.128.100
2020-09-01,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-01,usuario_6,H5P-5,H5P,Módulo de curso visto,The user with id '6442' viewed the 'hvp' activity with course module id '185586'.,web,181.72.128.100
2020-09-01,usuario_6,CURSO,Sistema,Curso visto,The user with id '6442' viewed the course with id '2046'.,web,181.72.128.100
2020-09-01,usuario_12,Archivo1,Recurso,Módulo de curso visto,The user with id '6101' viewed the 'resource' activity with course module id '185584'.,web,181.74.62.21
2020-09-01,usuario_7,Carpeta 1 ,Carpeta,Módulo de curso visto,The user with id '6376' viewed the 'folder' activity with course module id '189121'.,web,179.9.15.155
2020-09-01,usuario_7,CURSO,Sistema,Curso visto,The user with id '6376' viewed the course with id '2046'.,web,179.9.15.155
2020-09-01,usuario_2,H5P-4,H5P,Módulo de curso visto,The user with id '6665' viewed the 'hvp' activity with course module id '186959'.,web,179.9.28.86
2020-09-01,usuario_2,H5P-3,H5P,Módulo de curso visto,The user with id '6665' viewed the 'hvp' activity with course module id '187334'.,web,179.9.28.86
2020-09-01,usuario_2,Archivo6,Recurso,Módulo de curso visto,The user with id '6665' viewed the 'resource' activity with course module id '186960'.,web,179.9.28.86
2020-09-01,usuario_2,H5P-5,H5P,Módulo de curso visto,The user with id '6665' viewed the 'hvp' activity with course module id '185586'.,web,179.9.28.86
2020-09-01,usuario_2,Archivo1,Recurso,Módulo de curso visto,The user with id '6665' viewed the 'resource' activity with course module id '185584'.,web,179.9.28.86
2020-09-01,usuario_2,CURSO,Sistema,Curso visto,The user with id '6665' viewed the course with id '2046'.,web,179.9.28.86
2020-09-01,usuario_2,Archivo1,Recurso,Módulo de curso visto,The user with id '6665' viewed the 'resource' activity with course module id '185584'.,web,179.9.28.86
2020-09-01,usuario_2,CURSO,Sistema,Curso visto,The user with id '6665' viewed the course with id '2046'.,web,179.9.28.86
2020-09-01,usuario_7,Archivo9,Recurso,Módulo de curso visto,The user with id '6376' viewed the 'resource' activity with course module id '213825'.,web,179.9.15.155
2020-09-01,usuario_7,CURSO,Sistema,Curso visto,The user with id '6376' viewed the course with id '2046'.,web,179.9.15.155
2020-09-01,usuario_10,CURSO,Sistema,Curso visto,The user with id '6240' viewed the course with id '2046'.,web,181.73.252.102
2020-09-01,usuario_10,CURSO,Sistema,Curso visto,The user with id '6240' viewed the course with id '2046'.,web,181.73.252.102
2020-09-01,usuario_10,Archivo9,Recurso,Módulo de curso visto,The user with id '6240' viewed the 'resource' activity with course module id '213825'.,web,181.73.252.102
2020-09-01,usuario_10,CURSO,Sistema,Curso visto,The user with id '6240' viewed the course with id '2046'.,web,181.73.252.102
2020-09-01,usuario_12,H5P-5,H5P,Módulo de curso visto,The user with id '6101' viewed the 'hvp' activity with course module id '185586'.,web,181.74.62.21
2020-09-01,usuario_12,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '91039' for the user with id '6101' for the grade item with id '3721'.,web,181.74.62.21
2020-09-01,usuario_12,CURSO,Sistema,Usuario calificado,The user with id '6101' updated the grade with id '139481' for the user with id '6101' for the grade item with id '8043'.,web,181.74.62.21
2020-09-01,usuario_12,CURSO,Sistema,Curso visto,The user with id '6101' viewed the course with id '2046'.,web,181.74.62.21
2020-09-01,usuario_12,H5P-2,H5P,Módulo de curso visto,The user with id '6101' viewed the 'hvp' activity with course module id '183099'.,web,181.74.62.21
2020-09-01,usuario_12,H5P-2,Sistema,Finalización de actividad de curso actualizada,The user with id '6101' updated the completion state for the course module with id '183099' for the user with id '6101'.,web,181.74.62.21
2020-09-01,usuario_12,H5P-2,Sistema,Finalización de actividad de curso actualizada,The user with id '6101' updated the completion state for the course module with id '183099' for the user with id '6101'.,web,181.74.62.21
2020-09-01,usuario_12,CURSO,Sistema,Curso visto,The user with id '6101' viewed the course with id '2046'.,web,181.74.62.21
2020-09-01,usuario_12,Archivo1,Recurso,Módulo de curso visto,The user with id '6101' viewed the 'resource' activity with course module id '185584'.,web,181.74.62.21
2020-09-01,usuario_12,CURSO,Sistema,Curso visto,The user with id '6101' viewed the course with id '2046'.,web,181.74.62.21
2020-09-01,usuario_6,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '90391' for the user with id '6442' for the grade item with id '3721'.,web,181.72.128.100
2020-09-01,usuario_6,CURSO,Sistema,Usuario calificado,The user with id '6442' updated the grade with id '139488' for the user with id '6442' for the grade item with id '8043'.,web,181.72.128.100
2020-09-01,usuario_12,H5P-5,H5P,Módulo de curso visto,The user with id '6101' viewed the 'hvp' activity with course module id '185586'.,web,181.74.62.21
2020-09-01,usuario_12,CURSO,Sistema,Curso visto,The user with id '6101' viewed the course with id '2046'.,web,181.74.62.21
2020-09-01,usuario_6,CURSO,Sistema,Usuario calificado,The user with id '-1' updated the grade with id '90391' for the user with id '6442' for the grade item with id '3721'.,web,181.72.128.100
2020-09-01,usuario_6,CURSO,Sistema,Usuario calificado,The user with id '6442' updated the grade with id '139488' for the user with id '6442' for the grade item with id '8043'.,web,181.72.128.100
2020-09-01,usuario_6,H5P-5,H5P,Módulo de curso visto,The user with id '6442' viewed the 'hvp' activity with course module id '185586'.,web,181.72.128.100
